,bonds,stocks,cash
2001-10-01,0.0108914218,0.02714102590665557,0.00414957159967022
2001-11-01,-0.000515231,0.06814995155766757,0.00379264451335981
2001-12-01,0.0008235412,0.003685449802447005,0.00374284862502838
2002-01-01,0.0025319597,-0.03175095288439911,0.00374284862502838
2002-02-01,0.0058688863,-0.007614958618466061,0.00338002605160037
2002-03-01,-0.0014688762,-0.023536216620363648,0.00382170798494474
2002-04-01,0.0105074742,-0.05663328039301119,0.0039106671071214
2002-05-01,0.005302547,-0.07083152096803069,0.00426078279034825
2002-06-01,0.0111030153,-0.07083730226854712,0.00421157788193782
2002-07-01,0.0126851811,-0.03722362644738875,0.0045414904197183
2002-08-01,0.0093350386,0.002463398657069904,0.00455452602546269
2002-09-01,0.0119014476,-0.10197947015309206,0.00440728255418565
2002-10-01,0.0045924171,0.039653055248569435,0.00455452602546269
2002-11-01,0.0025755679,0.00994959265207096,0.00440728255418565
2002-12-01,0.0127749568,-0.08314285579497194,0.00455452602546269
2003-01-01,0.0062693906,-0.07362279417057249,0.00455452602546269
2003-02-01,0.0090251122,-0.03270687982930731,0.00411286035549563
2003-03-01,0.0037670444,0.01308201421168631,0.00455452602546269
2003-04-01,0.0051002124,0.061361775294945575,0.00436165623373808
2003-05-01,0.0113998074,0.00869457631768844,0.00435226887488205
2003-06-01,0.0036960058,-5.6841638521598625e-06,0.00404162172603661
2003-07-01,-0.0024693038,0.02942982344080214,0.00409719093442962
2003-08-01,0.0009911327,0.02462077334307211,0.00394643219074453
2003-09-01,0.0119700079,-0.02287628461680513,0.00381888516033402
2003-10-01,-0.0011906055,0.024168754010358562,0.00394643219074453
2003-11-01,0.003648968,-0.024831534424597623,0.00381888516033402
2003-12-01,0.0094972914,0.020063639118821586,0.00394643219074453
2004-01-01,0.0069509102,-0.0005502804551212881,0.00396611022242888
2004-02-01,0.009379922,-0.010243509907089554,0.00388133845202909
2004-03-01,0.006635487,0.0193207710054224,0.00414957159967022
2004-04-01,-0.0032943975,0.043129809673317476,0.00402853485036347
2004-05-01,0.0033387386,0.00584384146066852,0.00435226887488205
2004-06-01,0.0039504305,0.002343627305573026,0.00434861588673119
2004-07-01,0.0070301329,-0.04600095292884898,0.00457407601493065
2004-08-01,0.0115916278,-0.037170482156776874,0.00475634504663214
2004-09-01,0.0053830919,-0.009625162527230224,0.00474549784455158
2004-10-01,0.0082648005,0.012130251410497506,0.00498368113926362
2004-11-01,0.005512697,0.0030766889339637338,0.00499185304650251
2004-12-01,0.0059684623,0.029265964016994106,0.00515867661306646
2005-01-01,0.0069471617,-0.011709105771883888,0.00515867661306646
2005-02-01,0.0022368657,0.0001235802470540559,0.0046582889705975
2005-03-01,0.0063995154,0.003015314034870098,0.00530102303496438
2005-04-01,0.0105850943,-0.0473684643025194,0.00518586841100488
2005-05-01,0.0083703382,0.06345518053780186,0.00535919308059918
2005-06-01,0.0080351971,0.019811886433399373,0.00518586841100488
2005-07-01,0.0010755836,0.060484594160131744,0.00535919308059918
2005-08-01,0.0080533157,-0.004343628398554067,0.00535919308059918
2005-09-01,0.0012274754,0.020618291813051748,0.00518586841100488
2005-10-01,0.0018160941,-0.03027381451007849,0.00539149409848982
2005-11-01,0.0058789522,0.02787288942528421,0.00537946619724328
2005-12-01,0.006595669,0.05466079979755101,0.00571389040737613
2006-01-01,0.0043677521,0.04000049406805051,0.00575893708958164
2006-02-01,0.0032814376,0.024238690029799503,0.00520017416513774
2006-03-01,0.0010354706,0.11006010852459602,0.00575893708958164
2006-04-01,0.0049202258,-0.016516760709723743,0.00557264827875414
2006-05-01,0.0058287981,-0.03821533384052889,0.00575893708958164
2006-06-01,0.0039925327,0.04008114395082596,0.00557264827875414
2006-07-01,0.0089792223,-0.018400925813025437,0.00575893708958164
2006-08-01,0.0102848944,-0.03304601160839249,0.00575893708958164
2006-09-01,0.0062604752,0.011362426391406943,0.00557264827875414
2006-10-01,0.0054043795,0.009860850120460007,0.00575893708958164
